140000,M,Knors af Quisten DK,PER es 11,11-08-1991,FD LO 65062,7852,19944
140001,M,Knors af Quisten DK,PER e,15-05-1995,FD LO 80781,117400,181217
140002,M,Know How vom Grutholz,BRI o,...,EC-BKG-0503-219,187530,187722
140003,M,Knud af Kambyses,PER d,29-07-2006,FD LO 143152,180979,122475
140004,M,Knud af Stensgård,PER d 33,31-03-1993,FD LO 72016,182088,163438
140005,M,Knud d. II af Stensgård,PER a,20-05-1997,FD LO 91340,182088,182050
140006,M,Knud Larvard Felis Jubatus,NFO d 03 23,11-04-2005,FD LO 133758,43292,123828
140007,M,Knurre Brimiso,SIA b,10-08-1996,FD LO 87489,7349,192713
140008,M,Knut 07-21,NFO n 09 23,13-05-2007,FD LO 147414,43292,182149
140009,M,Knut Husaby Felis Jubatus,NFO a,18-02-1992,FD LO 66470,407,3775
140010,M,Knut Nelson av Skogalund,NFO as 09,...,FE.R92.NF.034.4,,
140011,M,Knut Nordhaug Felis Jubatus,NFO a,04-07-1991,FD LO 64351,407,56257
140012,M,Knyaz Moskovskiy iz Veschiy Son,SIB d 22,...,MEKK-058/SIB,,
140013,M,Knüppelbrinks Bob,MCO d 22,21-01-2004,TICA TCC ZBT MC 210104 0,124548,132379
140014,M,Knüppelbrinks Domino,MCO n 09 22,...,TICA TCC ZBT MC 150105 0,,
140015,M,Knzma Litvik,SIB x ny 21,...,AR SIB/96-21 EXP,128354,193688
140016,M,Knæk af Bajang,OSH n 24,23-10-2002,FD RX 118548,156421,86847
140017,M,Knæk of Nazik,SOM n,12-09-1992,FD LO 70464,13574,134287
140018,M,Ko Lesterol van Plezier,DRX ns,...,FE.R86.RD.023.8,159109,162775
140019,M,Koala 93-84,PER b 33,31-03-1993,FD LO 71431,61092,121156
140020,F,Koalakats Ques Que Ces of Birjanji,SBI a,11-05-1993,CFA 0187-847472 V0995,176251,131071
140021,F,Koalakats Rascal of Hisnhers,SBI n,12-07-1994,CFA 0183-957772 V0897,,
140022,F,Koalakats Sweet N Sassy of Gillerin,SBI n,...,CFA 0183-1025925 V0796,176251,131073
140023,F,Koalakats Swiss Delight of Biramor,SBI n,13-08-1995,CFA 0183-1024746 V0398,,
140024,M,Kobalt Happy Kaleb,KOR,21-06-2009,FD LO 157712,136939,146673
140025,F,Kobalt Kanya,KOR,25-02-2007,GCCF CSSR 737070,137043,140026
140026,F,Kobalt Moon River,KOR,...,(D)DEKZV LO 306768,185939,162005
140027,F,Kobalt Moonlight Lily,KOR,...,(AUS)CFA 306766N05,185939,162005
140028,M,Kobo af Ethiopia DK,ABY n,27-03-1994,FD LO 75016,3092,4488
140029,M,Kobold's Hannibal,DRX ns 23,...,FE.R90.RD.016.3,25040,126973
140030,M,Kobold's Runaway,SPH n 09,15-08-1997,FD RX 13658,190748,5788
140031,F,Kochana Maria Happy Miau*PL,DRX g 03 22,25-04-2012,(DK)FD LO 212392,24147,128111
140032,F,Kochang,BUR n,08-02-2009,(SE)SVERAK LO 253303,170738,168773
140033,F,Kochav Ha-Carmel Amazing Star,SPH w,...,ICCF 050/01/SPH,159147,127973
140034,F,Kochav Ha-Carmel Born To Be Free,SPH f 09,...,(AT)ÖVEK-LO-0212421,3810,127996
140035,F,Kochav Ha-Carmel Dark Side of the Moon,SPH n,...,(IL)ICCF 154/02/SPH,3810,127973
140036,M,Kochav Ha-Carmel Ilan Ben Usmany,SPH n 32,...,ICCF 250/03/SPH,3811,164636
140037,F,Kochav Ha-Carmel Just For Love,SPH f 09,...,ICCF 302/03/SPH,155545,140040
140038,M,Kochav Ha-Carmel Lord of the Ring,SPH n 33,...,(IL)ICCF 307/03/SPH,155547,140035
140039,M,Kochav Ha-Carmel That's My Style,SPH n 03,...,ICCF 290/04/SPH,140036,140037
140040,F,Kochav Ha-Carmel Willy-Nilly,SRL non g 03,...,ICCF 014/00/SPH,,
140041,M,Kodo 93-32,SIA n,25-01-1993,FD LO 70303,91260,192075
140042,F,Koeni's Geeny,NFO f 09 22,...,KVL 97-303-0596-1,176354,150079
140043,F,Koeni's Nirwana,NFO e 09 23,...,KVL 01-135-1366-3,129057,140042
140044,M,Koermith v.d. 3 Prinzen,PER a,...,1.DEKZV 005710,,
140045,M,Koeros de Koeblai-Khan,SBI b 21,...,LOB 19129,126138,174262
140046,M,Kohinoor af Xique DK,SIA b,11-03-1990,FD LO 60361,23414,121696
