150000,F,Meinhards Cinnamon,PER h,...,DRU 024121,159215,119604
150001,F,Meinhardus Abracadabra,PER b,...,DRU 035894,159211,150006
150002,M,Meinhardus Darth Vader,PER n,04-07-1995,DRU 037956 RIEX,11033,150001
150003,F,Meinhardus Roseanne,PER n,06-08-2003,FD LO 135293,150002,156869
150004,M,Meinhardus Sequoiah,PER n 23,16-02-2005,FD LO 135294,294,150007
150005,M,Meinhardus Tuff E. Nuff,PER n,25-03-1997,FD RX 12508,22571,150001
150006,F,Meinhardus Tutti Frutti,PER f,...,DRU 029750,180145,150000
150007,F,Meinhardus Vie En Rose,PER c 03 23,...,KVL 03-275-0864-0,150002,156869
150008,M,Meisako Jamilah,SIA c,...,GCCF CS 294495,,
150009,F,Mei-Sin's Osofin,SBI a,...,SRK LO 6748,,
150010,F,Meisje Joufflu,BRI g,...,NCT 967212,174552,17844
150011,F,Meisterhaus Shira of Lostwoods,NFO n 09 23,01-03-2001,CFA 9075-1356736 V0802,158729,166614
150012,M,Mek de La Val,PER c 33,12-03-1993,FD LO 70556,166687,24507
150013,F,Mekele Zoe Bonet of Jeridi,PER a,...,CFA 0107-1408276,133682,133685
150014,M,Mektila Golden Qatara,SOM n,...,ACF GCCFSA N R1217,,
150015,M,Mel Gibson af Khartoum,ABY n,25-12-1997,FD LO 93143,52258,185424
150016,M,Mel Gibson de Vicio DK,BRI ns 24 62,19-05-2006,FD LO 141602,1568,79152
150017,F,Melady 06-17,NFO w,19-04-2006,FD LO 140241,93800,93784
150018,F,Melanea Felis Audax DK,NFO n,08-08-1996,FD LO 86940,123830,169026
150019,F,Melani de La Val,PER c 33,12-03-1993,FD LO 70559,166687,24507
150020,F,Melani de Pineda,PER ns 12,30-06-2001,FD RX 114939,38538,148525
150021,F,Melani Sinklair,SBI n,13-06-1984,FD LO 37631,124141,189426
150022,F,Melanie Hamilton von Kjeldgaard DK,EUR as 24,05-10-1998,FD RX 13255,52864,170319
150023,M,Melanitta nigrum Felis Jubatus,NFO n 09,13-07-1994,FD LO 76583,411,56257
150024,F,Melany Talan Ryfeya,PER a,...,AR PER/95-4407,142832,127178
150025,M,Melany's Barnside of Karashams,PER a,...,CFA 0106-009400 V110,,
150026,F,Melba af Fredenslund,ABY o,25-02-1988,FD LO 50411,137798,177521
150027,F,Melba af Punica DK,ABY o,21-08-1997,FD LO 91347,183229,144472
150028,M,Melchior de Reve en Bleu,CHA,...,(D)1.DEKZV 315994,129053,132513
150029,F,Melchizedek Susie Q of Tanstaafl,MCO n 22,...,CFA 1745-0041 V110,,
150030,F,Melchizidek's Susie Q of Tanstaafl,MCO n 23,22-08-1975,TICA SBT 082275 001,,
150031,F,Melia af Ly DK,MCO g 09,13-08-2000,FD LO 106260,96800,93179
150032,F,Melik Lothlorian of Bojacat,SBI n,27-04-1988,CFA 0183-497312 V1089,,
150033,F,Melika à Blue Treasure DK,RAG n 04,15-08-2002,FD RX 117712,125394,149537
150034,F,Melina of Wild Bumble-Bee,MCO g 09,...,KVL 03-299-0723-7,150238,121143
150035,M,Melinar Samsong,SIA b,...,GCCF CS 235110,,
150036,M,Melinar Sweet Prince,SIA n,24-06-1990,FD LO 61086,181694,147778
150037,F,Melisa de Saint Glinglin,TUA a 09,...,NCT 922079,20150,14382
150038,F,Melissa af Chindwin Blue,BRI g,26-11-1994,FD RX 10150,126966,182912
150039,F,Melissa af Clipper,PER f,22-08-1997,FD LO 91638,120354,135674
150040,F,Melissa af Dragsholm,PER f 33,21-10-1990,FD LO 61161,155735,14063
150041,F,Melissa af Kærvej,SBI n,15-04-1996,FD LO 84580,13884,138947
150042,F,Melissa bint Chandor of Charmingcat,MCO ns 23,...,XX 1392,,
150043,F,Melissa Blue Vernissage,BRI a,...,TK BRI/011C-02,156041,139467
150044,F,Melissa Felis Audax DK,NFO a 09 23,20-06-1995,FD LO 81332,162726,124756
150045,F,Melissa Khmer du Sycomore,PER f 33,...,1.DEKZV LO 013250,194084,161084
150046,F,Melissa Naryschkina*D,SIA n,07-08-2001,FD LO 111910,194263,120619
150047,F,Melissa of Kimberly's Castle,SOM ns,...,AAAF 8237,,
150048,F,Melissa van Moustache,SBI b,...,FFH LO 28455,2099,177324
150049,F,Melissa von Golzheim,MCO n 22,24-09-1996,FD LO 88950,16821,191051
150050,F,Melissa von Himmelblå DK,PER c 33,13-06-1992,FD LO 68205,124421,22450
150051,F,Melissa von Kjeldgaard DK,EUR n 24,20-02-2002,FD RX 113924,52862,150022
